FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.521602187,0.038452165,0.354921228,0.055449109,0,0,0.211389707,0.498688579,0,0.740548905,correct
0.320846013,0.69346769,0.888132973,1,0,0,0.579128707,0.518826097,0.825660788,1,correct
-0.755325681,0.82872079,0.370445852,1,0.195038791,0,0.397639783,0.743101155,0,0.373338197,correct
-0.020928045,0.24026915,0.227571583,0.346474901,0,0,0.246720555,0.460964333,0,0.222441291,correct
-0.699010922,0.593366258,0.16925889,0.855650907,0,0,0.241090331,0.269847439,0,0.180853895,correct
0.842297651,0.25774134,0.768784342,0.371670293,0,0,0.461880088,0.476328508,1,0.314017953,correct
0.621573942,0.274479392,0.651603813,0.283899534,0.111907503,0,0.569647997,0.45832912,0.752401811,0.239171553,mistake
0.127404132,0.302771061,0.380070328,0.436604424,0,0,0.35191333,0.55401894,0,0.647483836,correct
0.340758634,0.155712059,0.362458825,0.224541187,0,0,0.597695214,0.659779341,0,0.223960157,correct
-0.243497955,0.973791783,0.826055498,0.404235261,1,0,0.49620041,0.689464942,0.968724647,0.393114069,correct
-0.017606896,0.637550088,0.626867545,0.262984692,0.656380547,0,0.515212678,0.571026754,0.696517732,0.183499978,correct
-0.380482921,0.809145059,0.578296576,0.166810033,1,0,1,0.700468973,0,0.66313363,correct
0.066903679,0.29294808,0.333540211,0.298323812,0.124115594,0,0.571119947,0.411733781,0,0.380385386,mistake
-0.916335457,0.843318431,0.287354844,0.710432876,0.505656125,0,0.350478897,0.33029671,0,0.493695563,correct
-0.354796387,0.460160532,0.244896711,0.262014035,0.401550452,0,0.544262894,0.32592273,0,0.130751486,correct
1,0.278118214,0.971074884,0.401054321,0,0,0.553205206,1,1,0.447761125,correct
0.341571171,0.36153966,0.568779413,0.285958759,0.235391644,0,0.352341628,0.476277505,0.580011801,0.419879145,mistake
-0.424793889,0.820625566,0.562892514,0.307382273,0.332993058,0.542989918,0.662838237,0.515837244,0,0.578978017,mistake
0.44152443,0.152256231,0.420140121,0.219557787,0,0,0.213668533,0.841043657,0,0.662476401,correct
-0.546095371,0.851262974,0.519933285,1,0.227545256,0,1,0.714752358,0,0.41030893,correct
0.047644453,0.69346769,0.722374769,1,0,0,0.261487166,0.51507142,0.965697698,0.384075433,correct
0.638553905,0.152344309,0.539770898,0.219684798,0,0,0.620868606,0.929629282,0,0.655643304,mistake
0.603936175,0.41842014,0.784843288,0.345775259,0.257598403,0,0.505604134,0.685496891,0.921640038,0.306601658,correct
0.465966162,0.096710941,0.379424239,0.139459909,0,0,0.325626124,0.892244099,0,0.332905202,correct
-0.696331027,0.833996087,0.411514677,0.202645917,1,0,0.554000276,0.562471823,0,0.565462743,correct
1,0.197049618,0.815803818,0.284151116,0,0,0.244362468,0.532423914,1,0.683252546,correct
0.186788548,0.70964391,0.822973184,0.264842379,0.758484187,0,0.372967311,0.53108109,0.856950322,0.869529161,correct
0.280769637,0.473140276,0.643490221,0.246556686,0.435724959,0,0.497031185,0.750568434,0.478789653,0.494071893,mistake
0.279061665,0.431858874,0.60117255,0.305247688,0.317505009,0,0.53641455,0.793743162,0.355048537,0.468154204,mistake
0.622829446,0.391041153,0.768927319,0.563892389,0,0,0.489528307,0.48915802,0.899258146,0.495494287,correct
0.239072124,0.69346769,0.838518713,1,0,0,0.464864801,0.85587893,0.973804085,0.29955026,mistake
0.381177435,0.69346769,0.924737552,1,0,0,1,0.822090532,0.822215291,0.431866886,correct
0.366211182,0.505170307,0.727359769,0.36277212,0.365697733,0,0.312516554,0.436187136,1,0.224147117,mistake
0.763524022,0.262160841,0.725409917,0.266135835,0.111907503,0,0.190315291,0.452299676,0.908305825,0.636914285,correct
0.809187605,0.222644097,0.713598409,0.321059078,0,0,0.166242388,0.434900825,1,0.31546243,correct
-0.52441553,0.797710859,0.479534871,0.150321594,0,1,0.237159622,0.48873112,0,0.234054926,correct
0.898461499,0.303635148,0.848754158,0.437850461,0,0,0.571435176,0.477418093,1,0.421936223,correct
1,0.18152969,0.914312296,0.261770941,0,0,0.494374433,0.532676522,1,0.709908612,correct
0.511090278,0.689908775,1,0.669803292,0.325064652,0,0.863403699,0.866343428,0.731576966,1,correct
-0.331903502,1,0.798625863,1,1,0,0.871060289,0.706275697,0.396035443,0.951952518,correct
0.109535654,0.514705742,0.607748998,0.265813523,0,0.474463975,0.166074015,0.230885735,0,1,correct
0.049669633,0.716830771,0.759021822,0.092485822,0.068913839,0.869584931,0.137606214,0.288496237,0,1,mistake
-0.679418535,0.886947313,0.309826436,1,0.275655357,0,0.145430103,0.251043844,0,0.593841027,correct
0.638950972,0.194207259,0.736953632,0.279319332,0,0,0.07351502,0.199868688,1,0.669868792,correct
0.697299696,0.20228283,0.950192436,0.290934052,0,0,0.448245991,0.828717158,1,0.372962787,correct
0.274887438,0.695287569,0.928786173,1,0,0,0.290924264,0.435753041,1,0.70147995,correct
-0.296657744,0.428163285,0.176172254,0.148253584,0.467553894,0,0.227237835,0.185646402,0,0.150224655,correct
0.333791601,0.433933626,0.7174674,0.100943885,0.523162808,0,0.071964297,0.297316892,1,0.483631425,correct
